Data,Lançamento,Dcto.,Crédito (R$),Débito (R$),Saldo (R$),,
02/02/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,73,57,,"R$ 6.493,00",66
02/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,72,71,,"R$ 6.566,00",37
02/02/2018,CIELO HIPER CREDITO CIELO SA,9338296,34,86,,"R$ 6.601,00",23
02/02/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,6514,2,,"R$ 13.115,00",25
02/02/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,1009,24,,"R$ 14.124,00",49
02/02/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,547,48,,"R$ 14.671,00",97
05/02/2018,CARTAO VISA ELECTRON CIELO SA,9338296,32,96,,"R$ 14.704,00",93
05/02/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,224,24,,"R$ 14.929,00",17
06/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,19,39,,"R$ 14.948,00",56
09/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,14,54,,"R$ 14.963,00",10
09/02/2018,CIELO HIPER CREDITO CIELO SA,9338296,24,91,,"R$ 14.988,00",1
14/02/2018,CARTAO VISA ELECTRON CIELO SA,9338296,326,72,,"R$ 15.314,00",73
14/02/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,70,77,,"R$ 15.385,00",50
14/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,121,19,,"R$ 15.506,00",69
14/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,154,73,,"R$ 15.661,00",42
14/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,218,4,,"R$ 15.879,00",46
14/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,332,73,,"R$ 16.212,00",19
14/02/2018,CIELO HIPER CREDITO CIELO SA,9338296,35,93,,"R$ 16.248,00",12
15/02/2018,TARIFA BANCARIA CESTA PJ 2,10218,,-49,90,"R$ 16.198,00",22
15/02/2018,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 12.698,00",22
15/02/2018,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 11.698,00",22
16/02/2018,CARTAO VISA ELECTRON CIELO SA,9338296,51,38,,"R$ 11.749,00",60
19/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,12,60,,"R$ 11.762,00",20
19/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,27,63,,"R$ 11.789,00",83
19/02/2018,CIELO HIPER CREDITO CIELO SA,9338296,280,21,,"R$ 12.070,00",4
19/02/2018,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 8.570,00",4
19/02/2018,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 7.570,00",4
20/02/2018,CHEQUE COMPENSADO,403,,-1578,0,"R$ 5.992,00",4
21/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,15,42,,"R$ 6.007,00",46
23/02/2018,CIELO HIPER CREDITO CIELO SA,9338296,47,52,,"R$ 6.054,00",98
26/02/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,31,2,,"R$ 6.086,00",0
26/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,30,5,,"R$ 6.116,00",5
26/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,160,45,,"R$ 6.276,00",50
27/02/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,26,66,,"R$ 6.303,00",16
27/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,29,57,,"R$ 6.332,00",73
28/02/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,29,8,,"R$ 6.361,00",81
28/02/2018,CHEQUE COMPENSADO,407,,-915,0,"R$ 5.446,00",81
01/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,10,57,,"R$ 5.457,00",38
02/03/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,8969,85,,"R$ 14.427,00",23
02/03/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,3268,4,,"R$ 17.695,00",27
02/03/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,216,87,,"R$ 17.912,00",14
02/03/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,430,65,,"R$ 18.342,00",79
05/03/2018,CARTAO VISA ELECTRON CIELO SA,9338296,21,81,,"R$ 18.364,00",60
05/03/2018,CARTAO VISA ELECTRON CIELO SA,9338296,29,8,,"R$ 18.393,00",68
05/03/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,278,71,,"R$ 18.672,00",39
05/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,32,96,,"R$ 18.705,00",35
05/03/2018,CIELO HIPER CREDITO CIELO SA,9338296,34,85,,"R$ 18.740,00",20
07/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,252,7,,"R$ 18.992,00",27
07/03/2018,CHEQUE COMPENSADO,404,,-1578,0,"R$ 17.414,00",27
08/03/2018,CARTAO VISA ELECTRON CIELO SA,9338296,19,39,,"R$ 17.433,00",66
08/03/2018,CHEQUE COMPENSADO,405,,-1100,0,"R$ 16.333,00",66
12/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,39,46,,"R$ 16.373,00",12
13/03/2018,SAQUE C/C BDN Ag05882maq026085seq0291413031613,6085914,,-2500,0,"R$ 13.873,00",12
13/03/2018,SAQUE C/C BDN Ag05882maq026085seq0291913031615,6085919,,-2500,0,"R$ 11.373,00",12
14/03/2018,SAQUE C/C BDN Ag05882maq026085seq0314714031019,6085147,,-2500,0,"R$ 8.873,00",12
14/03/2018,SAQUE C/C BDN Ag05882maq026085seq0315214031021,6085152,,-2500,0,"R$ 6.373,00",12
15/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,97,92,,"R$ 6.471,00",4
15/03/2018,SAQUE C/C BDN Ag05882maq026085seq0345415031021,6085454,,-1000,0,"R$ 5.471,00",4
15/03/2018,TARIFA BANCARIA CESTA PJ 2,10318,,-49,90,"R$ 5.421,00",14
15/03/2018,CHEQUE COMPENSADO,406,,-2713,0,"R$ 2.708,00",14
19/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,24,94,,"R$ 2.733,00",8
26/03/2018,CARTAO VISA ELECTRON CIELO SA,9338296,44,2,,"R$ 2.777,00",10
26/03/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,22,1,,"R$ 2.799,00",11
26/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,77,28,,"R$ 2.876,00",39
27/03/2018,CARTAO VISA ELECTRON CIELO SA,9338296,196,61,,"R$ 3.073,00",0
27/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,126,67,,"R$ 3.199,00",67
27/03/2018,CHEQUE COMPENSADO,409,,-2410,0,"R$ 789,00",67
29/03/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,76,30,,"R$ 865,00",97
29/03/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,46,96,,"R$ 912,00",93
02/04/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,16,63,,"R$ 929,00",56
02/04/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,53,80,,"R$ 983,00",36
02/04/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,388,67,,"R$ 1.372,00",3
02/04/2018,CIELO VDA CREDITO ELO CIELO SA,9338296,58,30,,"R$ 1.430,00",33
02/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,78,26,,"R$ 1.508,00",59
02/04/2018,CIELO HIPER CREDITO CIELO SA,9338296,55,95,,"R$ 1.564,00",54
02/04/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,60,17,,"R$ 1.624,00",71
03/04/2018,CARTAO VISA ELECTRON CIELO SA,9338296,13,69,,"R$ 1.638,00",40
03/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,53,80,,"R$ 1.692,00",20
03/04/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,8206,13,,"R$ 9.898,00",33
03/04/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,1571,61,,"R$ 11.469,00",94
03/04/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,56,89,,"R$ 11.526,00",83
04/04/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,94,71,,"R$ 11.621,00",54
06/04/2018,CARTAO VISA ELECTRON CIELO SA,9338296,61,63,,"R$ 11.683,00",17
06/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,24,6,,"R$ 11.707,00",23
09/04/2018,CARTAO VISA ELECTRON CIELO SA,9338296,14,67,,"R$ 11.721,00",90
09/04/2018,CARTAO VISA ELECTRON CIELO SA,9338296,31,30,,"R$ 11.753,00",20
09/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,17,61,,"R$ 11.770,00",81
09/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,38,64,,"R$ 11.809,00",45
10/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,222,5,,"R$ 12.031,00",50
10/04/2018,CHEQUE COMPENSADO,410,,-1420,0,"R$ 10.611,00",50
11/04/2018,RECIBO RETIRADA CB ESPECIE,1,,-3000,0,"R$ 7.611,00",50
16/04/2018,TARIFA BANCARIA CESTA PJ 2,20418,,-49,90,"R$ 7.561,00",60
16/04/2018,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 4.061,00",60
16/04/2018,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 3.061,00",60
17/04/2018,CHEQUE COMPENSADO,411,,-2127,0,"R$ 934,00",60
18/04/2018,CARTAO VISA ELECTRON CIELO SA,9338296,19,56,,"R$ 954,00",16
18/04/2018,SAQUE COM CARTAO CB ESPECIE,5882080,,-900,0,"R$ 54,00",16
23/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,173,14,,"R$ 227,00",30
24/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,54,78,,"R$ 282,00",8
25/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,36,19,,"R$ 318,00",27
26/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,31,79,,"R$ 350,00",6
27/04/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,62,61,,"R$ 412,00",67
30/04/2018,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 1.412,00",67
30/04/2018,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 2.412,00",67
30/04/2018,CHEQUE COMPENSADO,412,,-2360,0,"R$ 52,00",67
02/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,17,61,,"R$ 70,00",28
02/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,67,50,,"R$ 137,00",78
02/05/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,6574,21,,"R$ 6.711,00",99
02/05/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,1588,70,,"R$ 8.300,00",69
02/05/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,49,49,,"R$ 8.350,00",18
02/05/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,376,0,,"R$ 8.726,00",18
03/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,60,64,,"R$ 8.786,00",82
03/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,16,63,,"R$ 8.803,00",45
04/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,39,13,,"R$ 8.842,00",58
07/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,25,43,,"R$ 8.868,00",1
07/05/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,187,81,,"R$ 9.055,00",82
07/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,315,96,,"R$ 9.371,00",78
09/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,44,2,,"R$ 9.415,00",80
10/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,28,86,,"R$ 9.444,00",66
14/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,97,82,,"R$ 9.542,00",48
14/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,164,62,,"R$ 9.707,00",10
14/05/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,29,35,,"R$ 9.736,00",45
14/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,130,10,,"R$ 9.866,00",55
14/05/2018,CHEQUE COMPENSADO,414,,-1272,0,"R$ 8.594,00",55
15/05/2018,TARIFA BANCARIA CESTA PJ 2,20518,,-49,90,"R$ 8.544,00",65
17/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,20,54,,"R$ 8.565,00",19
18/05/2018,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 5.065,00",19
18/05/2018,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 4.065,00",19
21/05/2018,PAGTO ELETRONICO TRIBUTO B.D.N.-INSS/GPS,2192355,,-231,88,"R$ 3.833,00",31
21/05/2018,PAGTO ELETRONICO TRIBUTO B.D.N.-SIMPLES NACIONAL,2641670,,-449,77,"R$ 3.383,00",54
21/05/2018,PAGTO ELETRONICO TRIBUTO B.D.N.-SIMPLES NACIONAL,2644828,,-52,70,"R$ 3.330,00",84
21/05/2018,CHEQUE COMPENSADO,413,,-2398,0,"R$ 932,00",84
22/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,20,54,,"R$ 953,00",38
22/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,94,89,,"R$ 1.048,00",27
23/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,260,70,,"R$ 1.308,00",97
28/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,72,39,,"R$ 1.381,00",36
28/05/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,254,33,,"R$ 1.635,00",69
29/05/2018,CARTAO VISA ELECTRON CIELO SA,9338296,12,72,,"R$ 1.648,00",41
30/05/2018,RECIBO RETIRADA CB ESPECIE,1,,-1000,0,"R$ 648,00",41
30/05/2018,SAQUE COM CARTAO CB RECEBIMENTOS DIVERSOS,5882080,,-378,52,"R$ 269,00",89
01/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,100,27,,"R$ 370,00",16
01/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,146,73,,"R$ 516,00",89
01/06/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,9628,56,,"R$ 10.145,00",45
01/06/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,1891,88,,"R$ 12.037,00",33
01/06/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,571,19,,"R$ 12.608,00",52
01/06/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,646,48,,"R$ 13.255,00",0
04/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,22,99,,"R$ 13.277,00",99
04/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,204,93,,"R$ 13.482,00",92
04/06/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,88,75,,"R$ 13.571,00",67
04/06/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,301,29,,"R$ 13.872,00",96
04/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,83,15,,"R$ 13.956,00",11
04/06/2018,SAQUE C/C BDN Ag05882maq026085seq0872304061541,6085723,,-800,0,"R$ 13.156,00",11
04/06/2018,SAQUE C/C BDN Ag05882maq026085seq0873104061543,6085731,,-2500,0,"R$ 10.656,00",11
04/06/2018,SAQUE C/C BDN Ag05882maq026085seq0873604061545,6085736,,-1500,0,"R$ 9.156,00",11
05/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,4,89,,"R$ 9.161,00",0
05/06/2018,SAQUE C/C BDN Ag05882maq026085seq0038705061159,6085387,,-2500,0,"R$ 6.661,00",0
05/06/2018,SAQUE C/C BDN Ag05882maq026085seq0039405061201,6085394,,-2500,0,"R$ 4.161,00",0
06/06/2018,BAIXA AUTOMAT POUPANCA*,681723,129,8,,"R$ 4.290,00",8
06/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,219,12,,"R$ 4.509,00",20
06/06/2018,SAQUE C/C BDN Ag05882maq026085seq0148806060907,6085488,,-1000,0,"R$ 3.509,00",20
06/06/2018,SAQUE C/C BDN Ag05882maq026085seq0149606060910,6085496,,-1000,0,"R$ 2.509,00",20
06/06/2018,SAQUE C/C BDN Ag05882maq026085seq0150106060911,6085501,,-1000,0,"R$ 1.509,00",20
06/06/2018,TARIFA BANCARIA TAR ENTREGA TAL DOMICILIO,500001,,-8,20,"R$ 1.501,00",0
06/06/2018,CHEQUE COMPENSADO,427,,-1500,0,"R$ 1,00",0
11/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,83,15,,"R$ 84,00",15
11/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,284,65,,"R$ 368,00",80
11/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,31,30,,"R$ 400,00",10
12/06/2018,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 1.400,00",10
12/06/2018,CHEQUE COMPENSADO,415,,-1272,0,"R$ 128,00",10
14/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,92,93,,"R$ 221,00",3
14/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,316,94,,"R$ 537,00",97
15/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,10,66,,"R$ 548,00",63
15/06/2018,TARIFA BANCARIA CESTA PJ 2,10618,,-49,90,"R$ 498,00",73
18/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,106,13,,"R$ 604,00",86
20/06/2018,DEPOSITO C/C BDN Ags5882maq063311seq05288,3311288,1500,0,,"R$ 2.104,00",86
20/06/2018,DEPOSITO C/C BDN Ags5882maq063311seq05292,3311292,1500,0,,"R$ 3.604,00",86
20/06/2018,CHEQUE COMPENSADO,416,,-2398,0,"R$ 1.206,00",86
21/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,78,26,,"R$ 1.285,00",12
22/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,96,84,,"R$ 1.381,00",96
25/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,161,89,,"R$ 1.543,00",85
25/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,45,98,,"R$ 1.589,00",83
25/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,388,83,,"R$ 1.978,00",66
25/06/2018,CHEQUE COMPENSADO,422,,-1060,0,"R$ 918,00",66
27/06/2018,CARTAO VISA ELECTRON CIELO SA,9338296,168,5,,"R$ 1.086,00",71
27/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,11,25,,"R$ 1.097,00",96
28/06/2018,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,5000,0,,"R$ 6.097,00",96
28/06/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,11,25,,"R$ 6.109,00",21
28/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,95,67,,"R$ 6.204,00",88
28/06/2018,CHEQUE COMPENSADO,424,,-1000,0,"R$ 5.204,00",88
29/06/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,130,10,,"R$ 5.334,00",98
29/06/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,44,2,,"R$ 5.379,00",0
02/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,108,58,,"R$ 5.487,00",58
02/07/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,155,1,,"R$ 5.642,00",59
02/07/2018,CIELO HIPER CREDITO CIELO SA,9338296,72,18,,"R$ 5.714,00",77
02/07/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,16927,71,,"R$ 22.642,00",48
02/07/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,2011,73,,"R$ 24.654,00",21
02/07/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,576,81,,"R$ 25.231,00",2
02/07/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,909,3,,"R$ 26.140,00",5
02/07/2018,CHEQUE COMPENSADO,418,,-630,0,"R$ 25.510,00",5
03/07/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,14,67,,"R$ 25.524,00",72
03/07/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,37,77,,"R$ 25.562,00",49
03/07/2018,SAQUE C/C BDN Ag05882maq026085seq0821703071455,6085217,,-800,0,"R$ 24.762,00",49
03/07/2018,SAQUE C/C BDN Ag05882maq026085seq0822203071456,6085222,,-2500,0,"R$ 22.262,00",49
03/07/2018,SAQUE C/C BDN Ag05882maq026085seq0823003071459,6085230,,-1000,0,"R$ 21.262,00",49
03/07/2018,SAQUE C/C BDN Ag05882maq026085seq0823503071500,6085235,,-700,0,"R$ 20.562,00",49
03/07/2018,CHEQUE COMPENSADO,423,,-4020,0,"R$ 16.542,00",49
04/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,224,99,,"R$ 16.767,00",48
04/07/2018,SAQUE C/C BDN Ag05882maq026085seq0898804070900,6085988,,-2500,0,"R$ 14.267,00",48
04/07/2018,SAQUE C/C BDN Ag05882maq026085seq0899304070902,6085993,,-2500,0,"R$ 11.767,00",48
04/07/2018,ENCARGO SALDO VINCULADO,7140185,,-7,40,"R$ 11.760,00",8
04/07/2018,CHEQUE COMPENSADO,419,,-1725,0,"R$ 10.035,00",8
05/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,31,30,,"R$ 10.066,00",38
06/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,46,96,,"R$ 10.113,00",34
09/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,114,25,,"R$ 10.227,00",59
09/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,68,47,,"R$ 10.296,00",6
09/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,70,43,,"R$ 10.366,00",49
09/07/2018,CHEQUE COMPENSADO,421,,-1300,0,"R$ 9.066,00",49
10/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,24,45,,"R$ 9.090,00",94
10/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,17,12,,"R$ 9.108,00",6
11/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,91,95,,"R$ 9.200,00",1
11/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,153,58,,"R$ 9.353,00",59
13/07/2018,TARIFA BANCARIA CESTA PJ 2,20718,,-49,90,"R$ 9.303,00",69
16/07/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,18,20,,"R$ 9.321,00",89
16/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,70,92,,"R$ 9.392,00",81
16/07/2018,CHEQUE COMPENSADO,426,,-1635,0,"R$ 7.757,00",81
17/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,78,6,,"R$ 7.835,00",87
19/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,81,19,,"R$ 7.917,00",6
20/07/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,48,91,,"R$ 7.965,00",97
20/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,41,57,,"R$ 8.007,00",54
20/07/2018,CHEQUE COMPENSADO,428,,-700,0,"R$ 7.307,00",54
20/07/2018,CHEQUE COMPENSADO,417,,-2396,0,"R$ 4.911,00",54
23/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,34,24,,"R$ 4.945,00",78
26/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,11,74,,"R$ 4.957,00",52
30/07/2018,CARTAO VISA ELECTRON CIELO SA,9338296,65,54,,"R$ 5.023,00",6
30/07/2018,CHEQUE COMPENSADO,420,,-1725,0,"R$ 3.298,00",6
30/07/2018,CHEQUE COMPENSADO,425,,-1160,0,"R$ 2.138,00",6
31/07/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,38,15,,"R$ 2.176,00",21
01/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,42,6,,"R$ 2.218,00",27
02/08/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,39,1,,"R$ 2.257,00",28
02/08/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,262,31,,"R$ 2.519,00",59
02/08/2018,CIELO VDA CREDITO ELO CIELO SA,9338296,43,58,,"R$ 2.563,00",17
02/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,122,27,,"R$ 2.685,00",44
02/08/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,6301,45,,"R$ 8.986,00",89
02/08/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,1382,57,,"R$ 10.369,00",46
02/08/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,102,9,,"R$ 10.471,00",55
02/08/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,171,3,,"R$ 10.642,00",58
03/08/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,36,42,,"R$ 10.679,00",0
03/08/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,71,41,,"R$ 10.750,00",41
03/08/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,160,50,,"R$ 10.910,00",91
03/08/2018,CIELO HIPER CREDITO CIELO SA,9338296,62,27,,"R$ 10.973,00",18
03/08/2018,CHEQUE COMPENSADO,431,,-1175,0,"R$ 9.798,00",18
06/08/2018,CARTAO VISA ELECTRON CIELO SA,9338296,39,13,,"R$ 9.837,00",31
06/08/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,21,52,,"R$ 9.858,00",83
06/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,45,0,,"R$ 9.903,00",83
07/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,31,30,,"R$ 9.935,00",13
09/08/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,26,60,,"R$ 9.961,00",73
09/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,11,74,,"R$ 9.973,00",47
10/08/2018,CARTAO VISA ELECTRON CIELO SA,9338296,101,73,,"R$ 10.075,00",20
10/08/2018,CHEQUE COMPENSADO,429,,-700,0,"R$ 9.375,00",20
10/08/2018,CHEQUE COMPENSADO,434,,-2027,0,"R$ 7.348,00",20
13/08/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,72,88,,"R$ 7.421,00",8
13/08/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,111,51,,"R$ 7.532,00",59
13/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,161,41,,"R$ 7.694,00",0
13/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,214,23,,"R$ 7.908,00",23
13/08/2018,CHEQUE COMPENSADO,432,,-1175,0,"R$ 6.733,00",23
13/08/2018,CHEQUE COMPENSADO,433,,-2090,0,"R$ 4.643,00",23
14/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,20,54,,"R$ 4.663,00",77
14/08/2018,CHEQUE COMPENSADO,436,,-500,0,"R$ 4.163,00",77
15/08/2018,TARIFA BANCARIA CESTA PJ 2,10818,,-49,90,"R$ 4.113,00",87
16/08/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,179,26,,"R$ 4.293,00",13
16/08/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,45,98,,"R$ 4.339,00",11
16/08/2018,RECIBO RETIRADA CB ESPECIE,1,,-2500,0,"R$ 1.839,00",11
20/08/2018,CARTAO VISA ELECTRON CIELO SA,9338296,71,6,,"R$ 1.910,00",17
20/08/2018,CARTAO VISA ELECTRON CIELO SA,9338296,306,93,,"R$ 2.217,00",10
